"","genre","popularity","danceability","energy","loudness","acousticness","valence","liveness","tempo","duration_ms"
"77","pop",76,0.513,0.788,-4.629,0.00968,0.234,0.11,139.987,238459
"78","pop",71,0.72,0.864,-3.249,0.0856,0.659,0.16,96.048,191612
"79","pop",65,0.789,0.858,-4.388,0.22,0.491,0.335,110.012,173455
"80","pop",67,0.294,0.505,-8.106,0.12,0.357,0.0977,85.332,209893
"81","pop",74,0.665,0.799,-2.868,0.18,0.5,0.125,101.976,228112
"82","pop",81,0.46,0.8,-3.584,0.289,0.553,0.121,102.46,220396
"83","pop",71,0.362,0.921,-3.815,0.123,0.529,0.19,172.191,180840
"84","pop",75,0.686,0.83,-4.437,0.0948,0.486,0.182,123.032,214634
"85","pop",73,0.618,0.66,-8.14,0.0292,0.408,0.325,105,210944
"86","pop",79,0.665,0.699,-5.265,0.423,0.585,0.0969,124.896,190932
"87","pop",74,0.661,0.725,-4.859,0.0253,0.605,0.123,119.927,197939
"88","pop",63,0.571,0.752,-4.872,0.0196,0.25,0.114,102.043,192941
"89","pop",79,0.591,0.705,-6.519,0.381,0.27,0.131,121.799,215316
"90","pop",16,0.652,0.898,-4.481,0.29,0.472,0.073,114.043,193377
"91","pop",75,0.706,0.855,-5.377,0.0911,0.293,0.347,107.184,201253
"92","pop",75,0.404,0.806,-4.75,0.198,0.112,0.114,148.036,220730
"93","pop",55,0.876,0.856,-3.884,0.0812,0.685,0.457,121.991,185062
"94","pop",30,0.802,0.645,-6.181,0.272,0.376,0.119,100.001,157202
"95","pop",62,0.906,0.832,-3.004,0.0909,0.751,0.152,104.03,159753
"96","pop",84,0.753,0.657,-3.061,0.171,0.437,0.112,107.01,184732
"97","pop",70,0.693,0.674,-4.449,0.185,0.378,0.0639,95.972,160998
"98","pop",37,0.672,0.815,-6.476,0.00246,0.341,0.577,115.033,226093
"99","pop",70,0.581,0.76,-3.962,0.16,0.523,0.183,104.099,205787
"100","pop",74,0.643,0.594,-5.453,0.0128,0.442,0.118,144.033,216668
"101","pop",85,0.674,0.881,-2.853,0.296,0.234,0.0793,98.994,178480
"102","pop",36,0.691,0.538,-9.952,0.246,0.329,0.178,99.972,182668
"103","pop",52,0.661,0.758,-5.299,0.0797,0.387,0.106,114.098,224061
"104","pop",58,0.653,0.69,-5.003,0.109,0.652,0.136,110.214,178501
"105","pop",72,0.734,0.693,-6.474,0.0878,0.55,0.341,110.021,154024
"106","pop",64,0.663,0.696,-5.994,0.0563,0.449,0.226,139.98,197880
"107","pop",63,0.55,0.899,-3.284,0.0113,0.408,0.137,125.85,170079
"108","pop",77,0.703,0.868,-4.661,0.15,0.733,0.104,121.03,193613
"109","pop",76,0.44,0.635,-6.385,0.129,0.327,0.121,128.133,207095
"110","pop",74,0.625,0.707,-4.761,0.22,0.479,0.213,138.064,248156
"111","pop",56,0.625,0.719,-5.541,0.048,0.326,0.0668,101.091,202072
"112","pop",77,0.547,0.795,-3.721,0.145,0.723,0.11,118.118,186805
"113","pop",71,0.673,0.596,-7.891,0.166,0.19,0.11,123.969,208567
"114","pop",64,0.699,0.633,-6.547,0.0453,0.458,0.101,123.449,184533
"115","pop",82,0.647,0.726,-4.389,0.157,0.767,0.0844,114.996,198996
"116","pop",81,0.588,0.67,-6.439,0.0104,0.505,0.338,118.159,238173
"117","pop",41,0.655,0.427,-11.684,0.295,0.224,0.0788,107.992,215446
"118","pop",62,0.79,0.865,-4.159,0.0264,0.362,0.24,122.99,189165
"119","pop",5,0.611,0.737,-5.154,0.0145,0.574,0.107,124.169,200318
"120","pop",72,0.726,0.763,-6.872,0.524,0.516,0.0943,128.02,160312
"121","pop",24,0.714,0.705,-6.479,0.292,0.471,0.126,114.994,219521
"122","pop",58,0.619,0.938,-5.245,0.0257,0.601,0.128,94.38,207428
"123","pop",65,0.575,0.808,-4.578,0.0446,0.232,0.0693,127.922,179531
"124","pop",64,0.768,0.808,-1.818,0.00627,0.664,0.343,119.971,166000
"125","pop",53,0.767,0.605,-5.737,0.559,0.657,0.193,107.042,203200
"126","pop",72,0.466,0.612,-4.855,0.0655,0.236,0.132,128.114,239067
"127","pop",39,0.434,0.917,-3.613,0.301,0.622,0.289,121.967,147554
"128","pop",75,0.744,0.79,-4.617,0.0547,0.847,0.32,125.002,188640
"129","pop",60,0.837,0.818,-4.474,0.0527,0.484,0.11,109.993,157159
"130","pop",18,0.514,0.856,-4.285,0.00123,0.351,0.544,117.014,228502
"131","pop",79,0.69,0.622,-5.025,0.253,0.544,0.116,102.04,210091
"132","pop",60,0.466,0.869,-4.275,0.0142,0.185,0.115,126.113,187150
"133","pop",83,0.842,0.801,-4.167,0.157,0.617,0.0642,95.881,212500
"134","pop",85,0.748,0.524,-5.599,0.414,0.661,0.111,95.01,244960
"135","pop",47,0.647,0.624,-8.446,0.025,0.477,0.0616,115.002,243091
"136","pop",74,0.509,0.781,-3.48,0.0398,0.176,0.0749,128,271427
"137","pop",80,0.737,0.636,-4.546,0.0441,0.565,0.35,105.005,222653
"138","pop",81,0.584,0.54,-7.786,0.0895,0.195,0.261,137.972,220883
"139","pop",76,0.743,0.733,-5.337,0.00402,0.622,0.304,104.977,189467
"140","pop",96,0.721,0.716,-7.037,0.0334,0.667,0.237,104.994,221714
"141","pop",84,0.781,0.768,-5.991,0.0119,0.486,0.325,123.07,213309
"142","pop",86,0.737,0.828,-4.711,0.0149,0.517,0.0862,124.052,208474
"143","pop",68,0.57,0.763,-4.137,0.0857,0.43,0.0932,150.088,239853
"144","pop",66,0.551,0.651,-5.828,0.225,0.562,0.224,144.875,194907
"145","pop",83,0.617,0.635,-6.769,0.0498,0.446,0.164,103.019,247160
"146","pop",85,0.791,0.862,-3.24,0.037,0.592,0.0814,123.994,214847
"147","pop",73,0.503,0.748,-4.124,0.0305,0.356,0.343,125.896,210013
"148","pop",69,0.64,0.533,-6.596,0.119,0.515,0.0864,99.968,220781
"149","pop",69,0.658,0.677,-6.628,0.248,0.248,0.368,124.91,251627
"150","pop",81,0.649,0.716,-5.371,0.0863,0.163,0.135,99.988,205947
"151","pop",73,0.713,0.802,-7.055,0.0435,0.343,0.309,100.001,226739
"152","pop",61,0.596,0.738,-3.109,0.109,0.461,0.0947,127.961,217347
"153","pop",19,0.503,0.727,-5.456,0.0159,0.521,0.0895,121.985,255632
"154","pop",57,0.609,0.726,-4.346,0.0723,0.362,0.0895,93.958,195000
"155","pop",81,0.654,0.76,-3.669,0.0797,0.41,0.299,99.945,200787
"156","pop",79,0.63,0.928,-2.787,0.199,0.465,0.148,123.963,222160
"157","pop",84,0.532,0.783,-5.697,0.0038,0.643,0.161,124.08,247427
"158","pop",84,0.694,0.77,-5.335,0.176,0.163,0.118,125.905,184560
"159","pop",66,0.604,0.787,-3.674,0.0679,0.301,0.127,126.062,245040
"160","pop",8,0.432,0.74,-5.053,0.0342,0.193,0.14,139.42,242520
"161","pop",64,0.638,0.832,-5.039,0.141,0.648,0.113,124.071,227893
"162","pop",61,0.759,0.716,-6.36,0.0223,0.469,0.231,105.009,209733
"163","pop",27,0.614,0.832,-3.419,0.11,0.429,0.185,129.038,213169
"164","pop",74,0.669,0.832,-5.72,0.0106,0.7,0.0968,113.035,237547
"165","pop",57,0.702,0.781,-4.081,0.433,0.382,0.135,102.997,286322
"166","pop",69,0.851,0.806,-4.618,0.12,0.776,0.121,119.001,237200
"167","pop",77,0.738,0.868,-4.373,0.0389,0.336,0.388,122.003,212640
"168","pop",74,0.57,0.672,-5.89,0.177,0.448,0.0768,120.019,208222
"169","pop",5,0.67,0.89,-3.785,0.122,0.568,0.333,124.967,206440
"170","pop",57,0.708,0.727,-7.647,0.0201,0.512,0.37,120.012,231480
"171","pop",68,0.654,0.787,-4.999,0.00515,0.409,0.144,123.978,164490
"172","pop",65,0.945,0.584,-7.649,0.0955,0.626,0.147,124.996,168547
"173","pop",58,0.704,0.929,-4.447,0.0395,0.633,0.181,126.055,155238
"174","pop",81,0.765,0.906,-2.097,0.125,0.95,0.423,96.071,184558
"175","pop",68,0.682,0.855,-3.282,0.0566,0.304,0.101,124.004,198743
"176","pop",43,0.627,0.662,-7.104,0.0922,0.596,0.143,124.039,159194
"177","pop",57,0.762,0.736,-7.66,0.135,0.248,0.113,126.007,165714
"178","pop",58,0.577,0.844,-3.364,0.00407,0.283,0.499,115.066,183653
"179","pop",58,0.632,0.816,-4.584,0.00205,0.134,0.119,127.95,202500
"180","pop",91,0.598,0.526,-8.659,0.129,0.529,0.14,123.935,168387
"181","pop",67,0.825,0.841,-6.433,0.0906,0.616,0.258,126.026,184582
"182","pop",42,0.63,0.731,-4.985,0.0191,0.46,0.704,119.997,240000
"183","pop",70,0.795,0.899,-4.202,0.00235,0.329,0.199,125.978,198839
"184","pop",64,0.529,0.717,-7.049,0.123,0.481,0.0363,103.99,257943
"185","pop",79,0.7,0.872,-5.896,0.121,0.761,0.103,125.03,190302
"186","pop",48,0.791,0.541,-7.14,0.123,0.433,0.121,115.987,154654
"187","pop",53,0.904,0.633,-5.545,0.203,0.492,0.163,121.995,179016
"188","pop",75,0.744,0.725,-6.055,0.018,0.904,0.212,118.034,167859
"189","pop",46,0.772,0.687,-6.348,0.0528,0.59,0.834,118.116,154286
"190","pop",67,0.706,0.524,-8.804,0.127,0.296,0.109,111.991,183183
"191","pop",65,0.664,0.699,-7.115,0.0352,0.252,0.0612,122.019,216256
"192","pop",56,0.781,0.745,-4.942,0.0814,0.498,0.106,110.051,158091
"193","pop",42,0.789,0.547,-8.738,0.072,0.48,0.0782,120.024,203227
"194","pop",58,0.575,0.808,-4.578,0.0446,0.232,0.0693,127.922,179531
"195","pop",74,0.669,0.797,-5.68,0.259,0.552,0.199,119.865,185943
"196","pop",65,0.567,0.946,-2.245,0.0978,0.295,0.0836,104.983,208367
"197","pop",64,0.653,0.757,-3.642,0.0997,0.233,0.242,128.015,204591
"198","pop",51,0.721,0.779,-4.239,0.142,0.327,0.143,110.026,169964
"199","pop",63,0.534,0.765,-3.151,0.0915,0.117,0.225,127.978,172520
"200","pop",83,0.651,0.693,-4.722,0.458,0.392,0.335,118.97,236765
"201","pop",55,0.682,0.923,-3.273,0.00395,0.37,0.242,130.052,153231
"202","pop",39,0.66,0.827,-5.081,0.429,0.611,0.0923,115.349,167249
"203","pop",48,0.57,0.965,-4.881,0.00108,0.148,0.201,123.008,291785
"204","pop",59,0.608,0.918,-1.137,0.199,0.422,0.309,126.022,182000
"205","pop",64,0.561,0.562,-11.431,0.062,0.244,0.118,151.631,242385
"206","pop",42,0.591,0.88,-5.153,0.0804,0.482,0.326,127.013,177638
"207","pop",70,0.626,0.8,-3.988,0.0267,0.258,0.0623,127.966,160184
"208","pop",57,0.745,0.8,-5.606,0.0209,0.314,0.113,122.008,204693
"209","pop",21,0.66,0.857,-5.219,0.167,0.233,0.119,130.069,225160
"210","pop",68,0.53,0.729,-6.019,0.00699,0.219,0.103,139.929,238338
"211","pop",63,0.552,0.887,-3.812,0.0457,0.783,0.0903,125.229,131204
"212","pop",54,0.471,0.911,-4.372,0.0316,0.197,0.571,126.112,170000
"213","pop",79,0.747,0.776,-5.898,0.0233,0.67,0.761,125.07,147027
"214","pop",72,0.712,0.664,-8.026,0.0416,0.781,0.0668,122.014,204514
"215","pop",80,0.733,0.859,-5.03,0.479,0.52,0.105,124.948,147840
"216","pop",47,0.517,0.793,-5.851,0.0214,0.176,0.0892,90.06,157333
"217","pop",19,0.675,0.674,-6.329,0.00339,0.414,0.279,125.037,200640
"218","pop",79,0.818,0.823,-3.563,0.0663,0.52,0.133,128.136,160794
"219","pop",59,0.639,0.591,-3.905,0.128,0.305,0.159,128.002,225000
"220","pop",68,0.535,0.906,-4.699,0.0202,0.732,0.0886,126.012,178671
"221","pop",72,0.784,0.721,-5.457,0.0149,0.895,0.285,121.966,176219
"222","pop",66,0.809,0.758,-5.658,0.409,0.71,0.166,125.022,142230
"223","pop",59,0.669,0.793,-6.16,0.0318,0.159,0.555,121.995,220205
"224","pop",64,0.578,0.786,-4.665,0.232,0.347,0.122,105.945,179151
"225","pop",9,0.733,0.839,-2.84,0.0145,0.471,0.162,126.009,223533
"226","pop",41,0.63,0.726,-3.753,0.0717,0.499,0.108,122.055,196475
"227","pop",69,0.845,0.766,-5.727,0.212,0.782,0.111,114.054,195924
"228","pop",66,0.679,0.866,-3.754,0.0337,0.441,0.0688,121.927,183934
"229","pop",68,0.657,0.882,-3.565,0.247,0.179,0.112,127.994,195000
"230","pop",66,0.493,0.773,-3.791,0.429,0.301,0.0807,123.149,193548
"231","pop",63,0.687,0.706,-5.357,0.091,0.27,0.124,115.268,127826
"232","pop",68,0.654,0.874,-3.885,0.169,0.542,0.134,119.85,184027
"233","pop",23,0.661,0.758,-5.299,0.0797,0.387,0.106,114.098,224061
"234","pop",67,0.447,0.684,-4.721,0.175,0.437,0.478,125.655,175312
"235","pop",62,0.731,0.802,-4.763,0.022,0.434,0.059,121.991,179016
"236","pop",9,0.489,0.766,-5.84,0.0511,0.117,0.126,121.445,190645
"237","pop",59,0.6,0.888,-4.612,0.00166,0.641,0.4,126.056,157024
"238","pop",71,0.687,0.707,-6.19,0.0536,0.607,0.16,127.033,188656
"239","pop",21,0.711,0.724,-4.809,0.0835,0.478,0.0389,104.048,208947
"240","pop",81,0.693,0.575,-6.998,0.374,0.492,0.252,117.999,211362
"241","pop",69,0.683,0.785,-4.879,0.0643,0.581,0.177,122.997,184564
"242","pop",56,0.638,0.818,-4.517,0.131,0.489,0.107,126.015,167990
"243","pop",56,0.707,0.806,-4.777,0.00908,0.634,0.366,119.972,163000
"244","pop",60,0.59,0.888,-2.851,0.0216,0.288,0.487,126.094,185714
"245","pop",40,0.632,0.574,-8.584,0.0942,0.557,0.215,125.989,201905
"246","pop",57,0.703,0.879,-4.514,0.0693,0.542,0.315,124.972,183360
"247","pop",70,0.79,0.746,-5.96,0.241,0.538,0.316,124.971,212280
"248","pop",63,0.733,0.718,-7.149,0.0107,0.206,0.33,122.993,176098
"249","pop",65,0.728,0.848,-6.248,0.0427,0.612,0.118,124.993,193137
"250","pop",56,0.502,0.78,-4.547,0.333,0.607,0.72,122.688,183341
"251","pop",2,0.638,0.708,-5.001,0.24,0.582,0.311,103.16,132233
"252","pop",53,0.685,0.712,-4.302,0.334,0.483,0.047,114.989,196493
"253","pop",11,0.62,0.906,-3.638,0.102,0.398,0.183,123.047,221773
"254","pop",77,0.601,0.775,-4.612,0.269,0.483,0.0883,119.964,190295
"255","pop",56,0.762,0.665,-6.92,0.169,0.961,0.103,115.946,193640
"256","pop",65,0.684,0.95,-2.588,0.0207,0.436,0.105,125.974,156168
"257","pop",34,0.65,0.819,-3.811,0.117,0.351,0.0772,128.09,186094
"258","pop",54,0.448,0.836,-6.495,0.229,0.482,0.427,122.899,170103
"259","pop",51,0.712,0.646,-4.23,0.116,0.607,0.123,104.998,196571
"260","pop",50,0.674,0.854,-5.253,0.054,0.503,0.379,111.969,180571
"261","pop",52,0.739,0.622,-5.382,0.532,0.615,0.0508,119.992,217804
"262","pop",76,0.647,0.795,-3.548,0.0635,0.409,0.188,127.992,192402
"263","pop",75,0.669,0.895,-3.787,0.128,0.576,0.297,124.964,205653
"264","pop",52,0.792,0.724,-5.108,0.219,0.429,0.0911,109.984,169000
"265","pop",62,0.706,0.931,-3.053,0.354,0.465,0.146,123.012,200893
"266","pop",65,0.645,0.795,-5.439,0.0334,0.424,0.089,127.959,226875
"267","pop",62,0.662,0.823,-4.7,0.073,0.435,0.0833,118.958,191786
"268","pop",10,0.673,0.885,-3.574,0.143,0.704,0.184,121.082,174545
"269","pop",55,0.516,0.857,-3.432,0.0368,0.448,0.264,127.949,198750
"270","pop",49,0.686,0.613,-5.614,0.0386,0.452,0.251,104.988,206875
"271","pop",70,0.503,0.754,-3.634,0.264,0.597,0.297,116.524,186750
"272","pop",61,0.382,0.698,-3.409,0.00236,0.151,0.108,127.816,234609
"273","pop",75,0.59,0.642,-3.87,0.0771,0.651,0.105,107.356,174444
"274","pop",60,0.708,0.825,-3.117,0.031,0.662,0.191,109.991,186000
"275","pop",63,0.588,0.757,-2.415,0.327,0.836,0.323,122.813,191650
"276","pop",73,0.636,0.63,-6.396,0.0796,0.454,0.13,104.845,184020
"277","pop",60,0.682,0.786,-4.87,0.214,0.664,0.12,91.042,195947
"278","pop",62,0.639,0.705,-5.039,0.045,0.595,0.425,124.957,182161
"279","pop",67,0.815,0.647,-7.162,0.399,0.182,0.0738,125.95,176773
"280","pop",61,0.696,0.907,-4.157,0.0191,0.466,0.124,125.932,186667
"281","pop",71,0.659,0.617,-5.862,0.27,0.187,0.187,119.858,164010
"282","pop",80,0.592,0.873,-5.65,0.0715,0.516,0.142,122.011,277262
"283","pop",68,0.651,0.617,-6.077,0.179,0.591,0.113,121.977,167912
"284","pop",60,0.707,0.585,-11.024,0.145,0.277,0.257,125.161,155520
"285","pop",66,0.673,0.687,-5.295,0.269,0.524,0.181,96.964,211040
"286","pop",75,0.567,0.765,-4.107,0.317,0.541,0.14,121.924,169467
"287","pop",58,0.768,0.83,-4.983,0.0229,0.444,0.145,126.007,187301
"288","pop",74,0.734,0.765,-5.562,0.151,0.518,0.231,109.989,163636
"289","pop",68,0.689,0.901,-1.431,0.145,0.651,0.459,125.115,180485
"290","pop",72,0.676,0.582,-7.58,0.221,0.447,0.515,124.012,194618
"291","pop",70,0.686,0.693,-6.245,0.329,0.699,0.136,124.206,197876
"292","pop",58,0.763,0.674,-5.146,0.0106,0.759,0.0321,105.027,178512
"293","pop",67,0.6,0.754,-4.204,0.0688,0.641,0.151,128.044,180820
"294","pop",62,0.691,0.924,-3.839,0.00828,0.34,0.402,125.983,158095
"295","pop",56,0.63,0.726,-3.753,0.0717,0.499,0.108,122.055,196475
"296","pop",65,0.734,0.921,-1.936,0.0328,0.654,0.197,120.056,218480
"297","pop",51,0.605,0.854,-4.128,0.0673,0.165,0.54,124.024,214641
"298","pop",54,0.609,0.523,-12.649,0.00959,0.342,0.15,127.977,181875
"299","pop",61,0.733,0.839,-2.84,0.0145,0.471,0.162,126.009,223533
"300","pop",76,0.43,0.606,-5.115,0.131,0.123,0.173,169.988,211680
"301","pop",83,0.661,0.723,-6.976,0.179,0.316,0.14,113.778,163805
"302","pop",63,0.752,0.764,-4.399,0.0476,0.582,0.0543,121.958,163216
"303","pop",70,0.704,0.888,-2.872,0.00553,0.531,0.079,125.027,157000
"304","pop",70,0.655,0.713,-6.293,0.338,0.61,0.0971,94.05,184653
"305","pop",56,0.732,0.734,-6.423,0.00719,0.643,0.34,123.033,177073
"306","pop",65,0.619,0.735,-3.925,0.017,0.668,0.347,119.981,169157
"307","pop",61,0.746,0.846,-2.432,0.0485,0.403,0.195,114.955,174933
"308","pop",60,0.776,0.809,-5.726,0.415,0.582,0.179,100.071,202520
"309","pop",63,0.621,0.898,-4.569,0.0976,0.332,0.404,124.018,181040
"310","pop",54,0.767,0.674,-6.246,0.0216,0.221,0.257,121.011,168636
"311","pop",70,0.655,0.672,-4.966,0.253,0.675,0.312,98.005,198880
"312","pop",6,0.638,0.656,-5.299,0.143,0.271,0.094,103.081,181960
"313","pop",70,0.689,0.505,-6.389,0.158,0.312,0.138,99.017,217293
"314","pop",54,0.445,0.597,-6.724,0.158,0.263,0.128,175.903,179500
"315","pop",83,0.807,0.887,-4.311,0.016,0.606,0.0811,122.015,229184
"316","pop",53,0.684,0.823,-4.881,0.00576,0.384,0.201,117.993,216000
"317","pop",55,0.653,0.708,-5.385,0.109,0.347,0.163,111.924,167871
"318","pop",81,0.662,0.858,-4.844,0.00163,0.295,0.0456,133.993,181673
"319","pop",58,0.691,0.821,-4.527,0.136,0.759,0.092,104.961,222000
"320","pop",75,0.717,0.716,-5.485,0.0421,0.206,0.0699,125.064,161280
"321","pop",73,0.677,0.497,-5.763,0.152,0.419,0.0911,99.137,236853
"322","pop",73,0.715,0.605,-5.128,0.239,0.454,0.189,122.956,212733
"323","pop",57,0.572,0.713,-4.826,0.0754,0.559,0.226,89.996,157005
"324","pop",25,0.645,0.741,-4.989,0.0323,0.534,0.29,123.07,203000
"325","pop",55,0.497,0.924,-3.43,0.149,0.283,0.267,120.018,150005
"326","pop",80,0.527,0.835,-5.298,0.0166,0.654,0.249,125.983,176658
"327","pop",69,0.401,0.872,-3.641,0.167,0.472,0.362,104.592,201257
"328","pop",74,0.738,0.794,-4.118,0.101,0.566,0.0533,104.014,184134
"329","pop",65,0.702,0.903,-3.921,0.121,0.66,0.168,125.948,166947
"330","pop",50,0.814,0.705,-4.734,0.0958,0.6,0.0687,110.004,240617
"331","pop",66,0.724,0.733,-5.539,0.0249,0.672,0.127,125.993,208107
"332","pop",71,0.771,0.826,-3.978,0.142,0.185,0.145,100.012,212280
"333","pop",79,0.747,0.834,-2.867,0.374,0.687,0.0586,128.005,215760
"334","pop",76,0.813,0.761,-5.687,0.0529,0.29,0.337,124.957,173067
"335","pop",55,0.728,0.794,-3.992,0.148,0.523,0.0688,112.071,194360
"336","pop",87,0.719,0.704,-4.724,0.0691,0.628,0.166,133.002,187436
"337","pop",35,0.564,0.833,-3.964,0.0112,0.395,0.101,127.948,209341
"338","pop",77,0.414,0.486,-6.431,0.0129,0.368,0.111,128.038,230762
"339","pop",83,0.682,0.656,-4.67,0.0737,0.607,0.353,130.089,183027
"340","pop",51,0.674,0.471,-8.199,0.0946,0.219,0.22,127.963,183345
"341","pop",2,0.69,0.689,-6.522,0.0655,0.307,0.136,131.945,129238
